COORDENADES1;COORDENADES2;CARRER;TIPUS CUINA;IMATGE1;IMATGE2;IMATGE3;IMATGE4;IMATGE5;IMATGE6;IMATGE7;IMATGE8;IMATGE9;NOM
41.394658;2.153155;Av Diagonal 423;Cocina casera;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c117.0.845.845/13573378_193449281057271_1039531873_n.jpg?ig_cache_key=MTI4NzcyNTg1MTUzODAxNDU0Mg%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13573584_597087133799002_1765336483_n.jpg?ig_cache_key=MTI4NjQxNDY5NjAyNzQ5NTMzMw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13534124_1071934776221223_884146703_n.jpg?ig_cache_key=MTI4NTYyNDMyNzE5NTA2NTMxOQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13584111_154484664961709_807137118_n.jpg?ig_cache_key=MTI4NTYyMDQ3Nzc0NjcwNDM4OQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13561973_1419155198098490_1638438170_n.jpg?ig_cache_key=MTI4NTQ5MjYxNDMwNTI0ODYzNQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13534304_206989009701699_1708905944_n.jpg?ig_cache_key=MTI4NTQwMzcyNzIzMDg4OTY0MQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/13557021_1755220158052536_371542413_n.jpg?ig_cache_key=MTI4NDM0NjQ2MDc4MzQ0MDgxMA%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13573563_171851266553614_1380997548_n.jpg?ig_cache_key=MTI4NDI4Nzk0OTQ3MDgwNzAwNA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13561989_1764391307141029_2024126502_n.jpg?ig_cache_key=MTI4MjgxMDM4MjM5Nzc0NjY0Mw%3D%3D.2;Restaurant La Dama
41.39308;2.14682;Av Diagonal 469;Cocina casera;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.133.1080.1080/13408806_824170701047876_460248471_n.jpg?ig_cache_key=MTI3NjMwNTY4ODEwODQwOTY0MQ%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13413270_127847654305647_832078650_n.jpg?ig_cache_key=MTI3NDg5MzIyNjcwMDQ5NDk1NQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13395177_120419288381687_812468682_n.jpg?ig_cache_key=MTI3MTY0NzU1NjQxNTA1OTAzMA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13397522_103028136790506_1067412809_n.jpg?ig_cache_key=MTI2ODY1Mjg3ODQ4MTU0NDQ3OA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13414317_555651921304188_896213059_n.jpg?ig_cache_key=MTI2Njg2NjcyNzgwMzk1NDU1NQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13402417_584931901673324_378640462_n.jpg?ig_cache_key=MTI2NjAyNDk3NTcwMzU3MjEyNg%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13381336_1020597574673955_81397802_n.jpg?ig_cache_key=MTI2NDY2NTgyNTg3NzY5Nzc3NA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/13267580_1716717231899784_611070835_n.jpg?ig_cache_key=MTI2Mzk1MDIzNjM4MDMyNzc3NQ%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/13266946_272080603144551_1870203788_n.jpg?ig_cache_key=MTI2Mzk0ODA1ODQxMjQ3ODIzMw%3D%3D.2.c;Restaurant Daps
41.40527;2.17428;Av Gaudi 11;Tapas, pintxos y platillos;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13551567_896457380482749_1113445986_n.jpg?ig_cache_key=MTI4MzgwMzcwOTUxNjUyMzk0NA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/13534397_548911475310766_1252338912_n.jpg?ig_cache_key=MTI4MjgwOTQ2NzM2ODUxNDA2Ng%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/13395141_1101405306583945_1604211139_n.jpg?ig_cache_key=MTI3OTIzMjE0MTg5MTA5NDEyOA%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.93.1080.1080/13395086_195644927500046_451376489_n.jpg?ig_cache_key=MTI3NjA1NzY4OTgwMTYzNjgwNg%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13385744_1749717395297611_1461143067_n.jpg?ig_cache_key=MTI3NTI0NzEyNjgyNDE1MjI2NQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13298001_296696457329408_121223382_n.jpg?ig_cache_key=MTI2NzcxNzA5MjQ2NjM0NjYxMQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/13249874_470487683148486_1225203190_n.jpg?ig_cache_key=MTI2MTcyNzgwMTQwMDE2MDEwNw%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13259492_1723739797906411_2005391520_n.jpg?ig_cache_key=MTI2MTY4MTk4Mzc1NTc0NTY4MA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/13256850_1028675510549242_508916062_n.jpg?ig_cache_key=MTI1NzI3MDg5ODA0MTM1MTUzMg%3D%3D.2.c;Restaurant Cerveseria Inter-Tapa
41.40546;2.17457;Av Gaudi 16;Cocina italiana;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12093607_1514472252205293_59131466_n.jpg?ig_cache_key=MTExMTEzNDUwNDI1MTQwNDM2Nw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12145525_875675032500613_942464721_n.jpg?ig_cache_key=MTEwODkzNDkyNTY3NzU4MjExMQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11374210_1615315932062437_2105426544_n.jpg?ig_cache_key=MTA4NTM0NTk5NDQ5NDM5NTA3OA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11849342_423731584496763_1737890344_n.jpg?ig_cache_key=MTA3OTMzNDQ5NzkxMDMwMTMxMw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.83.853.853/11371090_826726494109638_1571753082_n.jpg?ig_cache_key=MTA2ODI5NzI4NzAyNzM5NTMxMA%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11849255_877735598969486_712820066_n.jpg?ig_cache_key=MTA1NTk2MzUzNTQ5NjQzMDI4Mw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/l/t51.2885-15/s640x640/sh0.08/e35/11821157_825698554192122_1232826451_n.jpg?ig_cache_key=MTA1NTI3NzM1MTM3NjA1NjQ5OQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11374352_1038385626179117_1315947434_n.jpg?ig_cache_key=MTA0Nzk4NzM1MDEzNzU4NDM3MQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e15/11419170_839971132750627_629086927_n.jpg?ig_cache_key=MTAxMDE4MTc5MTQ1NTE5NjUzNw%3D%3D.2;Restaurant Pizzeria La Piazzenza
41.40491;2.17458;Av Gaudi 2;Cocina rapida;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c209.0.662.662/13267495_286453001700386_1544488639_n.jpg?ig_cache_key=MTI2MTY3NDc0NTkxMTk3NjUyOQ%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/12976398_260787084255104_349976051_n.jpg?ig_cache_key=MTIzNDc4MzMzNzE0NTk5NDM3Mw%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12328399_1582427925404230_744313465_n.jpg?ig_cache_key=MTIyMjcyNzkxOTc1MTkyNDU2Nw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12446066_733879180081810_1807128521_n.jpg?ig_cache_key=MTIxMzA1NjIxNzcwNzUyNTY2MA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10632561_1149725531726470_1741666931_n.jpg?ig_cache_key=MTIxMjk5NzcyMDI2MjQxODI3MQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12751425_1024309520980099_340668865_n.jpg?ig_cache_key=MTIwMzk0MTM2OTEwMDU1MjI4Ng%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/12783363_1725900637631638_220154542_n.jpg?ig_cache_key=MTE5NTA2NjEwMTcyMDk2OTQ1Mg%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12725104_711538708983416_1213407148_n.jpg?ig_cache_key=MTE5Mjk4NDQwOTA0NDA2MDgwMg%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/l/t51.2885-15/s640x640/sh0.08/e35/12751184_180663978970036_2072529532_n.jpg?ig_cache_key=MTE4NjE0NjE1OTE1NzA4NjExNA%3D%3D.2;Bar Restaurant Kentucky Fried Chicken -Av Gaudi
41.40657;2.17426;Av Gaudi 27;Cocina italiana;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/13584306_640503439435826_867247345_n.jpg?ig_cache_key=MTI4NjI4NzU0NDU1MTU4MDA4MA%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13532040_1087417394635274_1502177256_n.jpg?ig_cache_key=MTI4NDk3OTY1MzcwMjI2NDAxMg%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13534306_898819763561669_1807232017_n.jpg?ig_cache_key=MTI4NDk3MzIyODcwNzk3NjI1OA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.126.1080.1080/13394909_944018729049458_1179510800_n.jpg?ig_cache_key=MTI3MTAxMjU1Nzc2NTIwMTk2OQ%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c185.0.709.709/13298005_915705215208339_973147101_n.jpg?ig_cache_key=MTI2OTA4MTUwMTU0ODE4NzUzNA%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13130060_1707628462830458_303757732_n.jpg?ig_cache_key=MTI1MDA4MzMyMTM1NjgxNzczOQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/13181402_513810502146322_1282843994_n.jpg?ig_cache_key=MTI0NTE3NDY2MzczMTAyOTc3NQ%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12907247_761478837322235_75435116_n.jpg?ig_cache_key=MTIyOTk5MDY5ODg0MjY4NjAyMA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12424771_746211675514681_1736612749_n.jpg?ig_cache_key=MTIyOTkyNzgxODY5Njg4MDE5MA%3D%3D.2;Restaurant Pizzeria La Piazzenza
41.37518;2.15351;Av Paral.lel 184;Paellas y arroces;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13534317_837779399686558_599196435_n.jpg?ig_cache_key=MTI4NDk3NjExODIzOTkzNzE3Mw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13525350_571708379655399_961522543_n.jpg?ig_cache_key=MTI4MzU2MTA4NjkyMjMyODEwMg%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c111.0.858.858/13551687_1705893999660885_1134572195_n.jpg?ig_cache_key=MTI4MTAyMDI2MjQ3Njk1MzE5Mw%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13381157_1745847702335623_133123160_n.jpg?ig_cache_key=MTI3NjI5MjMxNjI5MDEwMzUxNg%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13381327_1714956338745440_1110725664_n.jpg?ig_cache_key=MTI3NjI5MTg5NzI1Mzk2ODA3Ng%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13437151_1196908553655438_198231449_n.jpg?ig_cache_key=MTI3Mzc1NDAyMjUzOTkzMjAwMQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/13259630_1633961466927663_1342692499_n.jpg?ig_cache_key=MTI1OTY2NTg5Mjc4MzAwMTk3Mg%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13167449_556597584522771_16513104_n.jpg?ig_cache_key=MTI0OTUwNTIxNTYxMzU3MjM0MQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/12976477_559162814244204_1069277663_n.jpg?ig_cache_key=MTI0MDAyNDgzOTA5MTY3MzA4Ng%3D%3D.2.c;Restaurant l'Amfora
41.37566;2.16623;C Aldana 8;Cocina casera;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13150786_1682338032029072_1910442646_n.jpg?ig_cache_key=MTI0NzMzMDkzNTkzMzg1MTMzOA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13108856_1094127883962937_1708413639_n.jpg?ig_cache_key=MTI0NzMyOTQ5OTgxMjU1MDI5NA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11909361_160678847616198_399084207_n.jpg?ig_cache_key=MTExMDE0NTc0ODYxMzI3Mjc2NQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e15/10881824_1390029134625924_718278134_n.jpg?ig_cache_key=ODgwNDIyMTM0MTI3MjM3MTkw.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e15/11236145_1388098401518868_347137274_n.jpg?ig_cache_key=Mzg3NTU1Njk1NzczNTk2NzE1.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e15/11230299_1586207634975288_162626005_n.jpg?ig_cache_key=Mzg3NTQ3NjI1Mzc2MTAwOTc1.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e15/11142724_358980844296647_463938606_n.jpg?ig_cache_key=MjQ3NjM2Nzk1NzI4MDI5MTEz.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e15/11098427_1673719656189073_2006084438_n.jpg?ig_cache_key=MjQ3NjMxMTA3NzA2NTQ1NTYw.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e15/11189859_852736481459742_321237983_n.jpg?ig_cache_key=NDI5MzY0OTYw.2;Restaurant l'Antic Magatzem
41.38569;2.15644;C Arago 150;Cocina rapida;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13167444_1116709421685957_297731214_n.jpg?ig_cache_key=MTI0NTcwNzE4MjA5OTI0ODY3Mg%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12965894_261065877562878_1288258873_n.jpg?ig_cache_key=MTIyNzA0MDM3MzIxODU4OTIxMA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12748345_654839411320628_897777923_n.jpg?ig_cache_key=MTE4MzUzMTkxNzAwMjg0MDExMQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12552459_929303000458560_1125548591_n.jpg?ig_cache_key=MTE3MzQ0ODMzNzA0MDc1NDI3NA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12568330_203582156656679_583515687_n.jpg?ig_cache_key=MTE3MTI4MDE0NDQyMTM0MDk2Ng%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12519499_1501073330199913_67752712_n.jpg?ig_cache_key=MTE2MzY4MDQxNjczNTQ5ODIzNQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12346166_1538127133171886_1499707098_n.jpg?ig_cache_key=MTE0ODEyNDY4ODgyNDMxMzY5NQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c174.0.732.732/12345844_798234143632145_24723541_n.jpg?ig_cache_key=MTEzNDY5NTUzNzMzODgwMDQ5OA%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12256896_1506636126298287_330932245_n.jpg?ig_cache_key=MTEyODQ3MzA1OTEzMzg3NDI5Ng%3D%3D.2;Restaurant Creperie les 3 Pommes
41.38785;2.15889;C Arago 193;Tapas, pintxos y platillos;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13397546_1737925373156956_308746345_n.jpg?ig_cache_key=MTI3MDM2OTM4MDY2Mzk4MzExMQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/13260910_1693602017574175_910394554_n.jpg?ig_cache_key=MTI2MzIzMjIxNTkyNTM4NzMwNw%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c61.0.958.958/13298126_244913245882787_2067923593_n.jpg?ig_cache_key=MTI2MDMxOTg1MjIyMTkzMDUxMA%3D%3D.2.c;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13259116_129980664076403_1390825066_n.jpg?ig_cache_key=MTI1NTM2NDQ4MTUwNDUwNjIyMw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e35/13256597_968698003225888_246277449_n.jpg?ig_cache_key=MTI1MzU4NzEzMTQ0MTYxMjA5Ng%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13150896_366529816804138_709316137_n.jpg?ig_cache_key=MTI0OTQxMzM1MTY4OTQyMTk1NQ%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/e35/13166777_1220075758012097_1204426752_n.jpg?ig_cache_key=MTI0ODgxNzE1NTQ1MDEzNTk5Nw%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13118308_1568357186790592_1952485301_n.jpg?ig_cache_key=MTI0NzE3NTQ3NTIyMDI3MzE4OA%3D%3D.2;https://scontent-mad1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13092441_799655990168970_526909316_n.jpg?ig_cache_key=MTI0NDQxMjM5NzkzOTkyNjkzMQ%3D%3D.2;Bar Restaurant El Ultimo Agave
